@lat	@lon	addr:housenumber	addr:street
37.8492825	-122.2521246	6058	College Avenue
37.8572620	-122.2527830	2959	College Avenue
37.8691166	-122.2548254	2300	College Avenue
37.8684027	-122.2607100	2430	Bancroft Way
37.8734190	-122.2687460	1920	Shattuck Avenue
37.8647961	-122.2671401	2451	Shattuck Avenue
37.8650305	-122.2671120	2441	Shattuck Avenue
37.8656869	-122.2672122	2409	Shattuck Avenue
37.8684190	-122.2675560	2255	Shattuck Avenue
37.8717157	-122.2705222	2000	University Avenue
37.8709518	-122.2748450	1800	University Avenue
37.8825201	-122.2666828	2211	Rose Street
37.8782287	-122.2886844	1578	Hopkins Street
37.8488468	-122.2717547	3290	Adeline Street
37.8817265	-122.2698100	1400	Shattuck Avenue
37.8805034	-122.2690108	1491	Shattuck Avenue
37.8806940	-122.2690080	1475	Shattuck Avenue
37.8809230	-122.2690350	1463	Shattuck Avenue
37.8798261	-122.2688892	1511	Shattuck Avenue
37.8798563	-122.2690130	1511	Shattuck Avenue
37.8797331	-122.2690006	1513	Shattuck Avenue
37.8796544	-122.2690441	1515	Shattuck Avenue
37.8795958	-122.2689700	1517	Shattuck Avenue
37.8800649	-122.2694799	1500	Shattuck Avenue
37.8799793	-122.2694793	1504	Shattuck Avenue
37.8798600	-122.2694690	1512	Shattuck Avenue
37.8793300	-122.2694030	1540	Shattuck Avenue
37.8782230	-122.2694410	1600	Shattuck Avenue
37.8780338	-122.2692547	1600	Shattuck Avenue
37.8779258	-122.2692415	1602	Shattuck Avenue
37.8770733	-122.2691647	1674	Shattuck Avenue
37.8768171	-122.2691238	1686	Shattuck Avenue
37.8767090	-122.2691070	1690	Shattuck Avenue
37.8767394	-122.2687078	1685	Shattuck Avenue
37.8764640	-122.2690790	1700	Shattuck Avenue
37.8760100	-122.2690380	1730	Shattuck Avenue
37.8752578	-122.2689252	1776	Shattuck Avenue
37.8751541	-122.2689132	1782	Shattuck Avenue
37.8750524	-122.2689020	1788	Shattuck Avenue
37.8749116	-122.2688783	1796	Shattuck Avenue
37.8740710	-122.2683760	1849	Shattuck Avenue
