STRNBR,addr:street,APN,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE,@lat,@lon,Total Taxable Value
2024,Eighth Street,056 196700900,nan,EIGHTH ST,nan,nan,1796,37.8673558,-122.295575,934295.0
1715,Lincoln Street,058 216301000,nan,LINCOLN ST,nan,nan,1096,37.8765799,-122.2773984,682348.0
2125,University Avenue,057 204600804,nan,UNIVERSITY AVE,nan,nan,54482,37.872397,-122.26764,55554611.0
2121,Cedar Street,059 225902800,nan,CEDAR ST,nan,nan,619,37.8787402,-122.2678409,114980.0
2525,Etna Street,055 185001901,nan,ETNA ST,nan,nan,1589,37.8649346,-122.2521768,455801.0
1340,Haskell Street,052 151603200,nan,HASKELL ST,nan,nan,1878,37.8512207,-122.2816354,56173.0
2620,Marin Avenue,063 296402600,nan,MARIN AVE,nan,nan,1878,37.8965647,-122.2620113,988820.0
2027,Delaware Street,058 217600800,nan,DELAWARE ST,nan,nan,2808,37.8748614,-122.269856,1730310.0
1535,Oregon Street,053 167103300,nan,OREGON ST,nan,nan,1961,37.8563767,-122.2783314,1204195.0
1719,Buena Avenue,059 228300800,nan,BUENA AVE,nan,nan,1813,37.8796739,-122.2786507,823854.0
2706,Acton Street,054 173900200,nan,ACTON ST,nan,nan,832,37.858051,-122.2825928,329527.0
576,Vistamont Avenue,063 310009100,nan,VISTAMONT AVE,nan,nan,2395,37.9030106,-122.2655733,951819.0
2815,Mathews Street,053 166402000,nan,MATHEWS ST,nan,nan,1173,37.8545217,-122.285275,824448.0
1420,Keoncrest Drive,059 228612900,nan,KEONCREST DR,nan,nan,1466,37.8769215,-122.2845691,361140.0
1607,Lincoln Street,058 215501600,nan,LINCOLN ST,nan,nan,1715,37.8763129,-122.2800309,469616.0
911,Tulare Avenue,061 261402100,nan,TULARE AVE,nan,nan,1376,37.8907566,-122.282005,977817.0
1707,Curtis Street,058 213302100,nan,CURTIS ST,nan,nan,1443,37.873628,-122.28978,421510.0
2334,Valley Street,056 192301600,nan,VALLEY ST,nan,nan,881,37.864022,-122.2845175,316106.0
1921,Francisco Street,058 217001201,nan,FRANCISCO ST,nan,nan,25936,37.8753627,-122.2724228,2547950.0
2806,Mathews Street,053 166300700,nan,MATHEWS ST,nan,nan,3000,37.8547156,-122.2858899,80451.0
2220,Browning Street,056 198701200,nan,BROWNING ST,nan,nan,1913,37.8659442,-122.2880291,47566.0
815,The Alameda,061 257506200,nan,THE ALAMEDA,nan,nan,2727,37.8939317,-122.2766912,1869165.0
3031,Adeline Street,053 159500903,nan,ADELINE ST,nan,nan,18368,37.8227599,-122.2817942,1706429.0
1346,Carleton Street,054 179200100,nan,CARLETON ST,nan,nan,987,37.8590925,-122.282826,180570.0
1235,Fifth Street,060 235901904,nan,FIFTH ST,nan,nan,10880,37.8800064,-122.3024242,283541.0
734,Spruce Street,061 258200600,nan,SPRUCE ST,nan,nan,4316,37.8967809,-122.2696452,412834.0
531,Vincente Avenue,062 290703900,nan,VINCENTE AVE,nan,nan,1713,37.8985257,-122.2836556,860649.0
1640,Cedar Street,058 215503300,nan,CEDAR ST,nan,nan,1828,37.8769953,-122.2786875,787067.0
716,Wildcat Canyon Road,063 312000700,nan,WILDCAT CANYON RD,nan,nan,2040,37.8996201,-122.2598579,352770.0
1180,Keeler Avenue,063 298502900,nan,KEELER AVE,nan,nan,2130,37.8888882,-122.2558672,1100000.0
65,Maryland Avenue,062 294901800,nan,MARYLAND AVE,nan,nan,1605,37.9032375,-122.2735437,856375.0
1725,Stuart Street,054 172901300,nan,STUART ST,nan,nan,2157,37.8577995,-122.2743587,42810.0
1010,Cragmont Avenue,063 297405700,nan,CRAGMONT AVE,3,nan,1301,37.8904644,-122.2658127,969291.0
1535,Carleton Street,054 180100800,nan,CARLETON ST,nan,nan,1666,37.8600021,-122.2788345,728029.0
1226,Rose Street,059 229100400,nan,ROSE ST,nan,nan,2070,37.8764417,-122.2903276,796333.0
2960,Piedmont Avenue,052 156704900,nan,PIEDMONT AVE,nan,nan,3735,37.8563595,-122.2508691,1052304.0
1159,Keeler Avenue,063 298404800,nan,KEELER AVE,nan,nan,2441,37.8894536,-122.2566868,108497.0
1014,Shattuck Avenue,061 255900500,nan,SHATTUCK AVE,nan,nan,2927,37.8889848,-122.2694389,676095.0
2344,Fulton Street,055 189200400,nan,FULTON ST,nan,nan,2136,37.8661614,-122.2658669,284691.0
1357,Addison Street,056 199500600,nan,ADDISON ST,nan,nan,1870,37.869272,-122.2846335,259150.0
2514,Dana Street,055 183100500,nan,DANA ST,nan,nan,2055,37.8642469,-122.2608711,924103.0
1892,San Juan Avenue,062 289700100,nan,SAN JUAN AVE,nan,nan,1722,37.8976067,-122.2782703,1236671.0
1044,Cragmont Avenue,063 298701500,nan,CRAGMONT AVE,nan,nan,2086,37.8911055,-122.2631014,90829.0
2828,Telegraph Avenue,053 168900403,nan,TELEGRAPH AVE,nan,nan,4610,37.8588486,-122.259589,1231491.0
1825,Ward Street,054 172700900,nan,WARD ST,nan,nan,1797,37.8589911,-122.2722916,53002.0
1508,Fairview Street,052 153601700,nan,FAIRVIEW ST,nan,nan,1351,37.8496129,-122.2777201,471703.0
1221,Queens Road,060 248602500,nan,QUEENS RD,nan,nan,951,37.88737,-122.2534204,309442.0
2915,Dohr Street,053 161901600,nan,DOHR ST,nan,nan,5382,37.8539102,-122.2807333,916794.0
1215,Carlotta Avenue,060 243602900,nan,CARLOTTA AVE,nan,nan,2867,37.8840737,-122.2800512,673788.0
699,Santa Rosa Avenue,062 289302501,nan,SANTA ROSA AVE,nan,nan,2301,37.8951659,-122.2804789,1071439.0
1426,San Pablo Avenue,059 233201500,nan,SAN PABLO AVE,nan,nan,1107,37.8777873,-122.2952503,273028.0
1530,Buena Avenue,059 228402200,nan,BUENA AVE,nan,nan,1189,37.8780142,-122.281446,621368.0
2473,Prince Street,052 157404900,nan,PRINCE ST,nan,nan,1899,37.8541325,-122.2569022,1667093.0
1070,Grizzly Peak Boulevard,063 297900900,nan,GRIZZLY PEAK BLVD,nan,nan,2505,37.8926622,-122.2577474,1094716.0
1118,Milvia Street,061 256800400,nan,MILVIA ST,nan,nan,2487,37.885998,-122.2733458,518805.0
693,Vincente Avenue,062 289001200,nan,VINCENTE AVE,nan,nan,1577,37.894761,-122.2820805,280806.0
2416,Browning Street,056 193001000,nan,BROWNING ST,nan,nan,1831,37.8625413,-122.2873883,493613.0
3091,Wheeler Street,052 158402300,nan,WHEELER ST,nan,nan,1277,37.8536485,-122.2639823,378980.0
1082,Keith Avenue,063 298700300,nan,KEITH AVE,nan,nan,1284,37.8907212,-122.26241,336328.0
1908,Blake Street,055 181602200,nan,BLAKE ST,nan,nan,1064,37.8623391,-122.2715111,979032.0
